2.04308,1.241123,,
2.766689,1.450127,,
2.883225,2.711377,,
2.785769,2.614044,,
2.022545,2.480479,,
1.736336,1.946222,,
1.717255,1.736336,,
1.675516,1.618396,,
1.675516,1.504157,,
1.747952,1.557957,,
1.796134,1.605056,,
1.863269,2.034386,,
2.138551,2.749565,,
2.062174,3.22692,,
2.17519,3.262784,,
2.535917,2.440581,,
2.747608,1.927142,,
3.267436,1.471302,,
3.358188,1.54553,,
3.403318,2.034386,,
3.035978,3.055073,,
2.770633,3.191005,,
2.10298,2.084034,,
2.021106,1.696967,,
1.695761,1.524279,,
1.261116,1.605056,,
1.145652,1.985797,,
1.163917,2.461399,,
1.087595,2.614044,,
,,,
2.16160020689655,2.11639737931034,,1.921
